event,activity,term,variable,value,se,p,n
heat,WFH,coef,NetworkDensity_high,0.19654217859967013,0.07219919425274592,0.006484471880444014,1213
heat,WFH,coef,SE,0.09810049794498976,0.04388017963264994,0.02537504375632997,1213
heat,WFH,coef,ac_c,0.17819206376665855,0.10483730973833966,0.08918721065944653,1213
heat,WFH,coef,age_65p,-0.24565880577234347,0.12373730196031488,0.04710828230931458,1213
heat,WFH,coef,black,0.16928186737968728,0.09041085371454453,0.06115650717497834,1213
heat,WFH,coef,edu_bs,0.15295668647545163,0.07903670966948377,0.05295823727135708,1213
heat,WFH,coef,heat_imp_2,-0.01604736718887123,0.11722817797202735,0.8911177304150173,1213
heat,WFH,coef,heat_imp_3,-0.038780510177345996,0.11460754200095971,0.7350794071460052,1213
heat,WFH,coef,heat_imp_4,0.267399217602773,0.13188060392820591,0.04260255669070129,1213
heat,WFH,coef,heat_imp_5,-0.012978588799893135,0.15196838451883005,0.9319408363421348,1213
heat,WFH,coef,hhsize2,-0.13609128263462253,0.07875147407240372,0.08396833934896794,1213
heat,WFH,coef,hispanic_c,0.24863565429365264,0.1124376334538458,0.02701364429285833,1213
heat,WFH,coef,tcom_no,-0.45589670764297524,0.07120208938612846,1.5249725730096685e-10,1213
heat,WFH,threshold,threshold_1,-1.473595802332563,,,1213
heat,WFH,threshold,threshold_2,0.7662107831415113,,,1213
heat,WFO,coef,asian,-0.2459946956721301,0.16738285524906424,0.14165578997060435,1271
heat,WFO,coef,child,0.14835400843444826,0.08993554612199318,0.09903312351815567,1271
heat,WFO,coef,edu_bs,-0.1781886329038944,0.07337454453517991,0.015162250530184485,1271
heat,WFO,coef,heat_imp_2,-0.04865407335510297,0.1106051391773016,0.6600169185228669,1271
heat,WFO,coef,heat_imp_3,-0.051676598949147126,0.10775705939158574,0.6315361791745292,1271
heat,WFO,coef,heat_imp_4,-0.1098896439124542,0.12397093325527293,0.37539416027258277,1271
heat,WFO,coef,heat_imp_5,0.28321362172286996,0.14244393560452792,0.04678446143987975,1271
heat,WFO,coef,hhsize1,0.29997588373240597,0.10218265240234288,0.0033281415241241718,1271
heat,WFO,coef,hhsize2,0.17035216069798875,0.09498557702627972,0.07290053185687366,1271
heat,WFO,coef,tcom_no,0.1727524460015663,0.06628604705692497,0.00915620589328239,1271
heat,WFO,coef,work_out,0.21257998066046366,0.11420733881999494,0.06269458052425982,1271
heat,WFO,threshold,threshold_1,-0.6715429012651412,,,1271
heat,WFO,threshold,threshold_2,1.2880887443092632,,,1271
powerout,Car,coef,Diversity_high,-0.09213820784801297,0.051124415652315944,0.0715084506769646,2300
powerout,Car,coef,EmpDens_medium,-0.05542987691439247,0.05168809361921088,0.28354418364418377,2300
powerout,Car,coef,age_65p,-0.10009368320420557,0.057242048843604613,0.08035947135488183,2300
powerout,Car,coef,black,0.08779850931108488,0.10054726989150886,0.3825506426859363,2300
powerout,Car,coef,child,0.2138246978282359,0.059207944094474815,0.00030452612884059765,2300
powerout,Car,coef,dis_yes,-0.09163826192250843,0.06235226448444151,0.1416467651304965,2300
powerout,Car,coef,female,-0.20594537380079958,0.0488758502198907,2.512846006142767e-05,2300
powerout,Car,coef,powerout_imp_2,0.0103256054135324,0.0657861344877394,0.8752786039947967,2300
powerout,Car,coef,powerout_imp_3,0.08515020392212808,0.06729084260094528,0.20572599613195197,2300
powerout,Car,coef,powerout_imp_4,0.15429908771507306,0.08648239829545783,0.07439644532042904,2300
powerout,Car,coef,powerout_imp_5,0.1910271025958022,0.10793542477330821,0.07675585099043382,2300
powerout,Car,coef,rural,-0.10555362068919498,0.0942907906811385,0.26294913711095946,2300
powerout,Car,coef,tcom_no,0.07367349227251811,0.05944901945807781,0.2152448651444402,2300
powerout,Car,coef,white,0.05831203863567436,0.08824974389823655,0.5087652367481114,2300
powerout,Car,threshold,threshold_1,-0.9745337225023586,,,2300
powerout,Car,threshold,threshold_2,0.7931184973296411,,,2300
powerout,Delivery,coef,Diversity_high,-0.08425004059580636,0.06055075101290311,0.1641055378917735,2300
powerout,Delivery,coef,Diversity_medium,-0.028176759894454416,0.05896271993222381,0.6327397783221893,2300
powerout,Delivery,coef,EmpDens_high,0.07475204825034343,0.06068075849480109,0.2179900009024367,2300
powerout,Delivery,coef,NatWalkInd_low,-0.14731244220867445,0.06656703509629205,0.026898066618402192,2300
powerout,Delivery,coef,PopDens_high,-0.03867896006217813,0.059855707008141426,0.518147652153419,2300
powerout,Delivery,coef,SE,0.08392589881184345,0.02933408711602201,0.004222582132555105,2300
powerout,Delivery,coef,TransitAccess_medium,0.027024843235141448,0.07101997899105228,0.7035561005937904,2300
powerout,Delivery,coef,powerout_imp_2,0.0034109642587223884,0.0650543127521919,0.9581840294109673,2300
powerout,Delivery,coef,powerout_imp_3,0.12448506914689322,0.0663068535332807,0.06046208874234999,2300
powerout,Delivery,coef,powerout_imp_4,0.1087966202551201,0.08486441127669364,0.19984080679049732,2300
powerout,Delivery,coef,powerout_imp_5,0.22197066538273222,0.10576138220839365,0.03583563854347609,2300
powerout,Delivery,threshold,threshold_1,-0.7183670472629745,,,2300
powerout,Delivery,threshold,threshold_2,0.9528571951810213,,,2300
powerout,Dine in,coef,Diversity_medium,-0.04158359118561637,0.04947854076914471,0.40066346971296485,2300
powerout,Dine in,coef,in50,-0.1121849795187501,0.04693139194239006,0.01682985569193363,2300
powerout,Dine in,coef,powerout_imp_2,0.015608925445864787,0.06438829427582861,0.8084557597466658,2300
powerout,Dine in,coef,powerout_imp_3,0.11421753592572964,0.06554871386651814,0.08142392001728287,2300
powerout,Dine in,coef,powerout_imp_4,0.2682052274631984,0.08398157761440808,0.0014050103614740908,2300
powerout,Dine in,coef,powerout_imp_5,0.25311441009632446,0.10472647208387564,0.015652906370280786,2300
powerout,Dine in,threshold,threshold_1,-0.49851421701437615,,,2300
powerout,Dine in,threshold,threshold_2,0.9693413109293751,,,2300
powerout,Home,coef,Diversity_high,0.03659255247345256,0.05813669303022549,0.5290723811599454,2300
powerout,Home,coef,Diversity_medium,0.08080637731900708,0.05764310347925851,0.16096319069627674,2300
powerout,Home,coef,EmpDens_medium,-0.04222386590589834,0.05047028388817766,0.40281269504821204,2300
powerout,Home,coef,PR,0.07085908100196711,0.029806726993473632,0.017440613259575074,2300
